timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1569011596477,175,HTTP Request,200,OK,Thread Group 1-5,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,175,0,65
1569011596471,208,HTTP Request,200,OK,Thread Group 1-10,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,208,0,69
1569011596571,130,HTTP Request,200,OK,Thread Group 1-7,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,130,0,69
1569011596535,193,HTTP Request,200,OK,Thread Group 1-9,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,193,0,70
1569011596596,139,HTTP Request,200,OK,Thread Group 1-6,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,139,0,58
1569011596531,239,HTTP Request,200,OK,Thread Group 1-3,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,238,0,70
1569011596680,123,HTTP Request,200,OK,Thread Group 1-10,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,123,0,59
1569011596619,220,HTTP Request,200,OK,Thread Group 1-2,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,220,0,68
1569011596653,187,HTTP Request,200,OK,Thread Group 1-5,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,187,0,67
1569011596612,230,HTTP Request,200,OK,Thread Group 1-8,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,230,0,64
1569011596610,235,HTTP Request,200,OK,Thread Group 1-4,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,235,0,66
1569011596702,150,HTTP Request,200,OK,Thread Group 1-7,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,150,0,60
1569011596736,135,HTTP Request,200,OK,Thread Group 1-6,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,135,0,64
1569011596770,134,HTTP Request,200,OK,Thread Group 1-3,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,134,0,69
1569011596729,184,HTTP Request,200,OK,Thread Group 1-9,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,183,0,75
1569011596804,118,HTTP Request,200,OK,Thread Group 1-10,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,118,0,63
1569011596846,127,HTTP Request,200,OK,Thread Group 1-4,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,127,0,68
1569011596840,161,HTTP Request,200,OK,Thread Group 1-2,text,true,,3439,501,10,10,https://api.novaposhta.ua/v2.0/json/,161,0,74
